-8.22531	0.05556
-8.24409	0.06944
-8.33785	0.08333
-8.33871	0.09722
-8.39791	0.11111
-8.40611	0.125
-8.41245	0.13889
-8.452	0.15278
-8.45959	0.16667
-8.45959	0.18056
-8.47327	0.19444
-8.47327	0.20833
-8.4852	0.22222
-8.4852	0.23611
-8.50472	0.25
-8.54626	0.26389
-8.56852	0.27778
-8.56852	0.29167
-8.58866	0.30556
-8.58866	0.31944
-8.60532	0.33333
-8.61527	0.34722
-8.6149	0.36111
-8.642	0.375
-8.65121	0.38889
-8.65308	0.40278
-8.65679	0.41667
-8.67073	0.43056
-8.68316	0.44444
-8.69498	0.45833
-8.69498	0.47222
-8.70542	0.48611
-8.71133	0.5
-8.71133	0.51389
-8.73589	0.52778
-8.73589	0.54167
-8.79757	0.55556
-8.79757	0.56944
-8.81299	0.58333
-8.83512	0.59722
-8.83512	0.61111
-8.90289	0.625
-8.93329	0.63889
-8.93386	0.65278
-8.94244	0.66667
-8.95363	0.68056
-8.95363	0.69444
-8.97166	0.70833
-9.00809	0.72222
-9.00902	0.73611
-9.04117	0.75
-9.04353	0.76389
-9.04353	0.77778
-9.08109	0.79167
-9.08488	0.80556
-9.08488	0.81944
-9.11902	0.83333
-9.11989	0.84722
-9.21253	0.86111
-9.26972	0.875
-9.27943	0.88889
-9.47814	0.90278
-9.47814	0.91667
-9.65298	0.93056
-9.79772	0.94444
-9.98065	0.95833
-9.99545	0.97222
-10.41669	0.98611
