-11.840	 0.000
-14.050	 0.014
-15.240	 0.028
-15.520	 0.042
-15.960	 0.056
-16.020	 0.070
-16.210	 0.085
-16.880	 0.099
-17.230	 0.113
-17.240	 0.127
-17.310	 0.141
-17.310	 0.155
-17.530	 0.169
-17.610	 0.183
-17.750	 0.197
-17.770	 0.211
-17.860	 0.225
-19.510	 0.239
-19.610	 0.254
-19.630	 0.268
-19.740	 0.282
-19.970	 0.296
-20.230	 0.310
-19.700	 0.324
-20.330	 0.338
-20.560	 0.352
-20.610	 0.366
-20.690	 0.380
-20.690	 0.394
-20.800	 0.408
-20.890	 0.423
-20.980	 0.437
-21.110	 0.451
-21.180	 0.465
-21.400	 0.479
-21.470	 0.493
-21.750	 0.507
-21.950	 0.521
-21.970	 0.535
-22.000	 0.549
-22.070	 0.563
-22.300	 0.577
-22.400	 0.592
-22.470	 0.606
-22.470	 0.620
-22.570	 0.634
-23.040	 0.648
-23.350	 0.662
-23.400	 0.676
-23.710	 0.690
-23.770	 0.704
-23.950	 0.718
-23.970	 0.732
-24.180	 0.746
-24.400	 0.761
-24.480	 0.775
-24.480	 0.789
-24.530	 0.803
-24.750	 0.817
-24.810	 0.831
-25.350	 0.845
-25.690	 0.859
-26.280	 0.873
-26.450	 0.887
-26.640	 0.901
-26.660	 0.915
-26.690	 0.930
-27.000	 0.944
-27.680	 0.958
-27.710	 0.972
