-18.570	 0.000
-18.600	 0.014
-18.600	 0.027
-19.220	 0.041
-20.810	 0.055
-21.620	 0.068
-21.620	 0.082
-21.630	 0.096
-21.730	 0.110
-21.770	 0.123
-21.800	 0.137
-21.810	 0.151
-22.060	 0.164
-22.060	 0.178
-22.080	 0.192
-22.210	 0.205
-22.210	 0.219
-22.250	 0.233
-22.330	 0.247
-22.660	 0.260
-22.750	 0.274
-22.790	 0.288
-22.880	 0.301
-22.970	 0.315
-22.970	 0.329
-23.030	 0.342
-23.090	 0.356
-23.090	 0.370
-23.100	 0.384
-23.140	 0.397
-23.130	 0.411
-23.130	 0.425
-23.180	 0.438
-23.220	 0.452
-23.240	 0.466
-23.390	 0.479
-23.420	 0.493
-23.440	 0.507
-23.440	 0.521
-23.570	 0.534
-23.580	 0.548
-23.690	 0.562
-23.750	 0.575
-23.760	 0.589
-23.860	 0.603
-23.970	 0.616
-23.970	 0.630
-24.000	 0.644
-24.090	 0.658
-24.150	 0.671
-24.200	 0.685
-24.230	 0.699
-24.230	 0.712
-24.310	 0.726
-24.510	 0.740
-24.640	 0.753
-24.720	 0.767
-24.770	 0.781
-24.820	 0.795
-24.880	 0.808
-24.900	 0.822
-25.060	 0.836
-25.070	 0.849
-25.220	 0.863
-25.300	 0.877
